🐳	You filthy P2W player...
🐟	You filthy F2P player...
🐲	You filthy hoarder...
succ	<:succ:448658522046070785>
unity miss	<:SadBee:296130470142279683><:SadBee:296130470142279683><:SadBee:296130470142279683>
marin 330 damage karin	<:SadBee:296130470142279683> <:SadBee:296130470142279683> <:SadBee:296130470142279683>
<:pkyogre:588351201708605460>	So much 🐳 talk
🐑	You filthy follower...
🐐	You lucky follower...
<@!421005943287840788>	Tapper, two beatsticks, TC
<@421005943287840788>	Tapper, two beatsticks, TC
c: rank	<:GladBee:466135717937152001>  <:GladBee:466135717937152001>  <:GladBee:466135717937152001>
magnezone	<:pulverizing_pancake:379324481606254603> <:fliplup:586129745939398656>
