Alias	Original Name
4up	4 Up
four up	4 Up
fourup	4 Up
5up	5 Up
five up	5 Up
fiveup	5 Up
Aboma	Abomasnow
Obama	Abomasnow
Aero	Aerodactyl
zam	Alakazam
Amphy	Ampharos
rmldo	Armaldo
waromatisse	Aromatisse (Winking)
w aromatisse	Aromatisse (Winking)
winking aromatisse	Aromatisse (Winking)
winkingaromatisse	Aromatisse (Winking)
aromatissew	Aromatisse (Winking)
aromatisse w	Aromatisse (Winking)
aromatisse winking	Aromatisse (Winking)
aromatissewinking	Aromatisse (Winking)
cuno	Articuno
waudino	Audino (Winking)
audinow	Audino (Winking)
w audino	Audino (Winking)
winking audino	Audino (Winking)
winkingaudino	Audino (Winking)
audino winking	Audino (Winking)
audinowinking	Audino (Winking)
audino w	Audino (Winking)
azu	Azumarill
wazumarill	Azumarill (Winking)
w azumarill	Azumarill (Winking)
azumarillw	Azumarill (Winking)
winking azumarill	Azumarill (Winking)
winkingazumarill	Azumarill (Winking)
azumarill winking	Azumarill (Winking)
azumarillwinking	Azumarill (Winking)
wazu	Azumarill (Winking)
azumarill w	Azumarill (Winking)
BB	Barrier Bash
barrierbash	Barrier Bash
BB+	Barrier Bash+
barrierbash+	Barrier Bash+
BB++	Barrier Bash++
barrierbash++	Barrier Bash++
barrierbreak	Barrier Break
barrier bash+++	Barrier Break
barriershot	Barrier Shot
bas	Barrier Shot
Barrier Shot Omega	Barrier Shot Ω
BSO	Barrier Shot Ω
barriershotomega	Barrier Shot Ω
barriershoto	Barrier Shot Ω
barrier shot o	Barrier Shot Ω
basculinb	Basculin (Blue-Striped Form)
basculin b	Basculin (Blue-Striped Form)
basculin blue	Basculin (Blue-Striped Form)
basculinblue	Basculin (Blue-Striped Form)
basculin blue striped form	Basculin (Blue-Striped Form)
basculinbluestripedform	Basculin (Blue-Striped Form)
basculin blue stripe	Basculin (Blue-Striped Form)
basculinbluestripe	Basculin (Blue-Striped Form)
bbasculin	Basculin (Blue-Striped Form)
b basculin	Basculin (Blue-Striped Form)
blue basculin	Basculin (Blue-Striped Form)
bluebasculin	Basculin (Blue-Striped Form)
basculinr	Basculin (Red-Striped Form)
basculin r	Basculin (Red-Striped Form)
basculin red	Basculin (Red-Striped Form)
basculinred	Basculin (Red-Striped Form)
basculin red striped form	Basculin (Red-Striped Form)
basculinredstripedform	Basculin (Red-Striped Form)
basculin red stripe	Basculin (Red-Striped Form)
basculinredstripe	Basculin (Red-Striped Form)
rbasculin	Basculin (Red-Striped Form)
r basculin	Basculin (Red-Striped Form)
red basculin	Basculin (Red-Striped Form)
redbasculin	Basculin (Red-Striped Form)
bearticc	Beartic
beastpower	Beast Power
bee	Beedrill
<:SadBee:296130470142279683>	Beedrill
<:GladBee:466135717937152001>	Beedrill
bem	Beheeyem
bello	Bellossom
bigeater	Big Eater
be	Big Eater
bw	Big Wave
bigwave	Big Wave
quirky shot	Blindside
wblissey	Blissey (Winking)
w blissey	Blissey (Winking)
blisseyw	Blissey (Winking)
winking blissey	Blissey (Winking)
winkingblissey	Blissey (Winking)
blissey winking	Blissey (Winking)
blisseywinking	Blissey (Winking)
blissey w	Blissey (Winking)
blockoff	Block Off
block smash+++	Block Off
blockshot	Block Shot
bls	Block Shot
bs	Block Smash
blocksmash	Block Smash
BS+	Block Smash+
blocksmash+	Block Smash+
BS++	Block Smash++
blocksmash++	Block Smash++
bruteforce	Brute Force
bugcombo	Bug Combo
bc	Bug Combo
bulba	Bulbasaur
wbulba	Bulbasaur (Winking)
wbulbasaur	Bulbasaur (Winking)
w bulbasaur	Bulbasaur (Winking)
bulbasaurw	Bulbasaur (Winking)
bulbasaur w	Bulbasaur (Winking)
winking bulbasaur	Bulbasaur (Winking)
winkingbulbasaur	Bulbasaur (Winking)
bulbasaur winking	Bulbasaur (Winking)
bulbasaurwinking	Bulbasaur (Winking)
burmy p	Burmy (Plant Cloak)
burmy plant cloak	Burmy (Plant Cloak)
burmy plant	Burmy (Plant Cloak)
burmyplant	Burmy (Plant Cloak)
plant burmy	Burmy (Plant Cloak)
plantburmy	Burmy (Plant Cloak)
burmyp	Burmy (Plant Cloak)
pburmy	Burmy (Plant Cloak)
p burmy	Burmy (Plant Cloak)
burmy sandy	Burmy (Sandy Cloak)
burmy sand	Burmy (Sandy Cloak)
burmysandy	Burmy (Sandy Cloak)
burmysand	Burmy (Sandy Cloak)
burmy sandy cloak	Burmy (Sandy Cloak)
burmy s	Burmy (Sandy Cloak)
sandyburmy	Burmy (Sandy Cloak)
sandy burmy	Burmy (Sandy Cloak)
sand burmy	Burmy (Sandy Cloak)
sandburmy	Burmy (Sandy Cloak)
burmys	Burmy (Sandy Cloak)
sburmy	Burmy (Sandy Cloak)
s burmy	Burmy (Sandy Cloak)
burmy t	Burmy (Trash Cloak)
burmy trash cloak	Burmy (Trash Cloak)
burmy trash	Burmy (Trash Cloak)
burmytrash	Burmy (Trash Cloak)
trash burmy	Burmy (Trash Cloak)
trashburmy	Burmy (Trash Cloak)
burmyt	Burmy (Trash Cloak)
tburmy	Burmy (Trash Cloak)
t burmy	Burmy (Trash Cloak)
calmdown	Calm Down
wcarbink	Carbink (Winking)
w carbink	Carbink (Winking)
carbinkw	Carbink (Winking)
carbink w	Carbink (Winking)
winking carbink	Carbink (Winking)
winkingcarbink	Carbink (Winking)
carbink winking	Carbink (Winking)
carbinkwinking	Carbink (Winking)
carwink	Carbink (Winking)
castform rainy form	Castform (Rainy Form)
castform rainy	Castform (Rainy Form)
castform r	Castform (Rainy Form)
