HEADER	Description	Rate1	Rate2	Rate3	Type	Multiplier	Bonus Effect	Bonus1	Bonus2	Bonus3	Bonus4	SP1	SP2	SP3	SP4
Opportunist	Rarely increases damage.	5	10	10	Offensive	1.5	Multiply Damage	1.4	1.8	2.0	3.4	3	10	25	50
Heavy Hitter	Sometimes increases damage.	20	50	80	Offensive	1.5	Multiply Damage	1.5	2.0	2.2	2.7	5	15	40	70
Dragon Talon	Sometimes increases damage.	40	70	100	Offensive	1.5	Activation Rate	10	15	20	30	5	15	40	70
Power of 4	Increases damage when you make a match of four.	0	100	0	Offensive	1.5	Multiply Damage	1.5	1.8	2.1	2.4	5	30	70	120
Power of 5	Increases damage when you make a match of five.	0	0	100	Offensive	1.5	Multiply Damage	1.5	1.8	2.1	2.4	5	30	70	120
Last-Ditch Effort	Increases damage when things are looking desperate.	50	100	100	Offensive	5.0	Multiply Damage	1.2	1.5	2.0	3.0	5	20	40	100
Hitting Streak	Increases damage when it is triggered in a row.	60	100	100	Offensive	1.2	Activation Rate	10	15	20	30	5	20	40	100
Damage Streak	Increases damage when it is triggered in a row.	60	100	100	Offensive	1.2	Multiply Damage	1.1	1.3	1.5	2.0	5	20	40	100
Risk-Taker	Increases damage randomly.	50	70	100	Offensive	1.0	Multiply Damage	1.5	1.8	2.0	2.5	2	9	30	70
Swarm	Increases damage when things are looking desperate.	60	80	100	Offensive	5.0	Activation Rate	10	20	30	40	2	9	30	70
Steely Resolve	Increases damage when things are looking desperate.	60	80	100	Offensive	4.0	Multiply Damage	1.1	1.2	2.5	3.5	5	20	40	100
Pyre	Increases damage done by any Fire types in the combo.	50	100	100	Offensive	2.0	Activation Rate	10	20	30	40	5	30	70	120
Dancing Dragons	Increases damage done by any Dragon types in the combo.	60	100	100	Offensive	2.0	Activation Rate	10	15	20	30	5	20	40	100
Pummel	Increases damage done by any Fighting types in the combo.	15	50	100	Offensive	2.0	Activation Rate	20	25	40	50	5	30	70	120
Pixie Power	Increases damage done by any Fairy types in the combo.	15	40	80	Offensive	2.0	Activation Rate	20	30	40	60	5	20	40	100
Sinister Power	Increases damage done by any Dark types in the combo.	15	40	80	Offensive	2.0	Activation Rate	20	30	40	60	5	20	40	100
Crowd Control	Increases damage when there are more of this Pokémon in the puzzle area.	20	60	80	Offensive	50.0	Activation Rate	10	15	20	40	5	20	40	100
Counterattack	Deals even more damage the more disruptions there are.	25	75	100	Offensive	20.0	Add Damage	10.0	15.0	20.0	30.0	2	9	30	100
Vitality Drain	Damage varies depending on the opponent’s remaining HP.	15	30	60	Offensive	1.0	Activation Rate	5	10	20	30	3	10	25	50
Quake	Sometimes increases damage and leaves opponent paralyzed for a short period of time.	20	35	60	Offensive	1.2	Activation Rate	10	20	30	40	2	9	30	70
Fearless	Increases damage in the combo if the opponent is Ghost type.	10	50	100	Offensive	1.0	Multiply Damage	1.2	1.4	1.5	2.0	2	9	30	70
Swat	Increases damage against Flying, Bug, or Fairy types.	20	40	100	Offensive	1.0	Multiply Damage	1.1	1.2	1.4	1.6	2	9	30	70
